# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
5170                   	1.281705809995724e-06	7.498717197150468e-07	2.940462613919816e-06	3.748126884451178e-06	4.021017582394022e-08
5171                   	1.280091783182139e-06	7.471410378422990e-07	2.935200003097327e-06	3.743582633677380e-06	4.016665140776671e-08
5172                   	1.278479634378426e-06	7.444202327231139e-07	2.929779015466278e-06	3.739043349513683e-06	4.012316145492578e-08
5173                   	1.276869519622066e-06	7.417101850938985e-07	2.924450126637756e-06	3.734510540591194e-06	4.007971316368837e-08
5174                   	1.275261211668739e-06	7.390133325236758e-07	2.919268264648289e-06	3.729982320989227e-06	4.003630062570069e-08
5175                   	1.273654721206009e-06	7.363266586309224e-07	2.914178724017220e-06	3.725458703958538e-06	3.999292092806750e-08
5176                   	1.272050502481227e-06	7.336505546866179e-07	2.909125078411361e-06	3.720940065959061e-06	3.994957387334849e-08
5177                   	1.270447922817200e-06	7.309830341149827e-07	2.904106672837074e-06	3.716427187680968e-06	3.990625850538548e-08
5178                   	1.268847391318773e-06	7.283283732728990e-07	2.899112749494147e-06	3.711919602655092e-06	3.986297423019239e-08
5179                   	1.267248694744164e-06	7.256840327853438e-07	2.894145166090038e-06	3.707417812282782e-06	3.981972760702850e-08
5180                   	1.265651964620763e-06	7.230481722413194e-07	2.889190636583283e-06	3.702922224627309e-06	3.977651225765881e-08
5181                   	1.264056963840248e-06	7.204205675751648e-07	2.884250722940330e-06	3.698431148970629e-06	3.973332816776614e-08
5182                   	1.262463652673128e-06	7.178025141304120e-07	2.879318529050528e-06	3.693944735962241e-06	3.969017340655275e-08
5183                   	1.260872062483725e-06	7.151990579076489e-07	2.874400066488480e-06	3.689463303365375e-06	3.964704908972170e-08
5184                   	1.259282147484296e-06	7.126042354567454e-07	2.869495734104610e-06	3.684987472077454e-06	3.960395574639964e-08
5185                   	1.257694360360389e-06	7.100203391707944e-07	2.864608662870645e-06	3.680517305789210e-06	3.956089183159430e-08
5186                   	1.256109452748257e-06	7.074479471063657e-07	2.859739858983235e-06	3.676053074083988e-06	3.951785734323680e-08
5187                   	1.254526782067207e-06	7.048857857122853e-07	2.854891240548065e-06	3.671594528465052e-06	3.947485117007130e-08
5188                   	1.252946421869994e-06	7.023362648722711e-07	2.850053875315774e-06	3.667142299355667e-06	3.943187304559766e-08
5189                   	1.251368153537635e-06	6.998033130841145e-07	2.845230550853672e-06	3.662695155569146e-06	3.938892317003670e-08
5190                   	1.249791770180402e-06	6.972854597022606e-07	2.840420369669341e-06	3.658252927645379e-06	3.934601697544372e-08
5191                   	1.248217290393418e-06	6.947809914507611e-07	2.835633559867758e-06	3.653815859047564e-06	3.930313998717179e-08
5192                   	1.246644562469378e-06	6.922892886601602e-07	2.830864223907591e-06	3.649383304151882e-06	3.926026292604186e-08
5193                   	1.245073701925899e-06	6.898102277048783e-07	2.826282105041105e-06	3.644955501778004e-06	3.921741931745691e-08
5194                   	1.243504917417930e-06	6.873425423454561e-07	2.821760684553630e-06	3.640532520689253e-06	3.917461363088794e-08
5195                   	1.241937813488900e-06	6.848829986341907e-07	2.817179703138149e-06	3.636114302231766e-06	3.913184125032845e-08
