# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
4099                   	3.702399554558598e-06	2.517851026640070e-06	1.027634989365704e-05	9.861276917944449e-06	1.221372409032032e-07
4100                   	3.697549132084484e-06	2.516775839436450e-06	1.025450488730841e-05	9.851854555939267e-06	1.220002215061920e-07
4101                   	3.692706275904502e-06	2.515679254676597e-06	1.023309822417764e-05	9.842410357409160e-06	1.218629881950089e-07
4102                   	3.687873325375350e-06	2.514572908153466e-06	1.021141219816607e-05	9.832969706049440e-06	1.217255634954855e-07
4103                   	3.683048818415803e-06	2.513470709027489e-06	1.018967167297671e-05	9.823537617915817e-06	1.215879626915355e-07
4104                   	3.678231410967652e-06	2.512360755373646e-06	1.016640318739163e-05	9.814101262141213e-06	1.214502277446151e-07
4105                   	3.673421309158842e-06	2.511237721679340e-06	1.014488210915356e-05	9.804659164257292e-06	1.213123181872653e-07
4106                   	3.668619808280492e-06	2.510105061402104e-06	1.012370932895809e-05	9.795211480522227e-06	1.211742554516591e-07
4107                   	3.663828548086049e-06	2.508973107125138e-06	1.010196378643885e-05	9.785757062485610e-06	1.210360259864116e-07
4108                   	3.659047017544317e-06	2.507869657564739e-06	1.007971575813012e-05	9.776292620334030e-06	1.208976543686926e-07
4109                   	3.654273585392807e-06	2.506783993481564e-06	1.005784965854917e-05	9.766815913617440e-06	1.207591512510726e-07
4110                   	3.649508556944167e-06	2.505705491049284e-06	1.003620989722788e-05	9.757333512726173e-06	1.206205219655668e-07
4111                   	3.644751950050818e-06	2.504622218255651e-06	1.001478553222015e-05	9.747841134556573e-06	1.204817774784956e-07
4112                   	3.640003169310780e-06	2.503546508709841e-06	9.993533474964076e-06	9.738341697391789e-06	1.203429409764788e-07
4113                   	3.635262576652101e-06	2.502474823669428e-06	9.968824645375427e-06	9.728830210499389e-06	1.202040077521315e-07
4114                   	3.630533167118306e-06	2.501397429349543e-06	9.929291780235748e-06	9.719326149690313e-06	1.200649928625541e-07
4115                   	3.625812781684609e-06	2.500319848773509e-06	9.908976162392561e-06	9.709805917303304e-06	1.199259899978171e-07
4116                   	3.621100602119049e-06	2.499258504325022e-06	9.887647342619162e-06	9.700280965213432e-06	1.197869652700467e-07
4117                   	3.616396282037052e-06	2.498236366655294e-06	9.862446801426398e-06	9.690750256804456e-06	1.196479046823201e-07
4118                   	3.611700326778638e-06	2.497246586999371e-06	9.836761284995606e-06	9.681202571613097e-06	1.195088036161597e-07
4119                   	3.607010441262388e-06	2.496234354639203e-06	9.812669947137055e-06	9.671647293755554e-06	1.193696758537335e-07
4120                   	3.602330241073519e-06	2.495210793964889e-06	9.790547375741883e-06	9.662079166851636e-06	1.192305187331572e-07
4121                   	3.597660412526338e-06	2.494186840721815e-06	9.769795067875734e-06	9.652505595438768e-06	1.190913398445023e-07
4122                   	3.592999832786063e-06	2.493171708431185e-06	9.749631748170798e-06	9.642919946243010e-06	1.189521502149448e-07
4123                   	3.588348396149499e-06	2.492153649828567e-06	9.729538777757742e-06	9.633321173812388e-06	1.188129436771683e-07
4124                   	3.583703762817716e-06	2.491131689748096e-06	9.709397050318538e-06	9.623713730013736e-06	1.186737253886295e-07
4125                   	3.579067499804346e-06	2.490115493493278e-06	9.689094953251603e-06	9.614097912463866e-06	1.185344922410017e-07
4126                   	3.574439945939555e-06	2.489140760133989e-06	9.668826226776869e-06	9.604470213026429e-06	1.183952661303969e-07
4127                   	3.569819817659971e-06	2.488182615726362e-06	9.648880152382596e-06	9.594838161192393e-06	1.182560788132198e-07
4128                   	3.565207888429170e-06	2.487232816233416e-06	9.629150192830790e-06	9.585194813246393e-06	1.181169302103957e-07
4129                   	3.560604004547506e-06	2.486276582549141e-06	9.609534286637050e-06	9.575541983405325e-06	1.179777889514846e-07
4130                   	3.556008939023900e-06	2.485332565293148e-06	9.589872153166436e-06	9.565877922763727e-06	1.178386522158898e-07
4131                   	3.551422928285597e-06	2.484383648722591e-06	9.570234868750281e-06	9.556203188114943e-06	1.176995229055591e-07
4132                   	3.546845087451638e-06	2.483437130695996e-06	9.550648918642692e-06	9.546522490681857e-06	1.175603903130126e-07
4133                   	3.542274900724300e-06	2.482482883754361e-06	9.531169131908046e-06	9.536836392664364e-06	1.174212556833958e-07
4134                   	3.537712971812320e-06	2.481530282603187e-06	9.509950603663074e-06	9.527154056015680e-06	1.172823682006146e-07
4135                   	3.533159522320858e-06	2.480585991388429e-06	9.490936501780928e-06	9.517464101286536e-06	1.171436094030260e-07
4136                   	3.528615441719018e-06	2.479646352290121e-06	9.472287833315245e-06	9.507763400295483e-06	1.170046097193691e-07
4137                   	3.524078761599646e-06	2.478727353199293e-06	9.454662215684681e-06	9.498053909016087e-06	1.168657371532334e-07
4138                   	3.519550037747646e-06	2.477821097384920e-06	9.435938904549371e-06	9.488331810362845e-06	1.167267235718137e-07
4139                   	3.515030121369592e-06	2.476935305218388e-06	9.417545639891542e-06	9.478595404472929e-06	1.165877092480789e-07
4140                   	3.510517813869401e-06	2.476064322291771e-06	9.397962865315367e-06	9.468855790796204e-06	1.164486466918581e-07
4141                   	3.506013433807434e-06	2.475182096113321e-06	9.369826395590352e-06	9.459103409360727e-06	1.163095594107113e-07
4142                   	3.501517058305690e-06	2.474304835963426e-06	9.354212771983357e-06	9.449346124435964e-06	1.161704677905014e-07
4143                   	3.497029670357055e-06	2.473455212014910e-06	9.339111839727864e-06	9.439600292226167e-06	1.160313735868065e-07
4144                   	3.492548961351080e-06	2.472613078583086e-06	9.322737457294324e-06	9.429856870276621e-06	1.158922490213842e-07
4145                   	3.488077232552563e-06	2.471789966767086e-06	9.305215572104494e-06	9.420111937689882e-06	1.157530928187334e-07
4146                   	3.483614693242506e-06	2.470993723132724e-06	9.286932115390900e-06	9.410362432343490e-06	1.156139233635644e-07
4147                   	3.479161139005363e-06	2.470188628718078e-06	9.268782486214887e-06	9.400606371687108e-06	1.154747421864601e-07
4148                   	3.474714542607327e-06	2.469367269272557e-06	9.250654946538560e-06	9.390843547039694e-06	1.153355749377484e-07
4149                   	3.470275492314984e-06	2.468535475595516e-06	9.232526173175667e-06	9.381075998399409e-06	1.151964284250299e-07
4150                   	3.465844672224393e-06	2.467716615159916e-06	9.214842657087384e-06	9.371303082007559e-06	1.150572966679292e-07
4151                   	3.461422291030392e-06	2.466908740379958e-06	9.197751998918094e-06	9.361530563894247e-06	1.149181841499783e-07
4152                   	3.457006959762205e-06	2.466143065298614e-06	9.180286803581994e-06	9.351746721451969e-06	1.147790582573801e-07
4153                   	3.452599678037663e-06	2.465380721303174e-06	9.162356498777999e-06	9.341958872731662e-06	1.146399535764362e-07
4154                   	3.448201510542634e-06	2.464645423869051e-06	9.144290817258927e-06	9.332170259729939e-06	1.145008406732167e-07
4155                   	3.443812626444655e-06	2.463912312755908e-06	9.126245475108963e-06	9.322371793813191e-06	1.143617336638627e-07
4156                   	3.439430891202587e-06	2.463176429201338e-06	9.108131858488646e-06	9.312567604960407e-06	1.142226530647443e-07
4157                   	3.435057474274552e-06	2.462439262927101e-06	9.090131392716497e-06	9.302753012334057e-06	1.140836190354199e-07
4158                   	3.430693146591038e-06	2.461709453483629e-06	9.072121294349560e-06	9.292933874712853e-06	1.139446504176550e-07
4159                   	3.426335131649995e-06	2.460976686862746e-06	9.054143544379111e-06	9.283107404243596e-06	1.138057249462540e-07
4160                   	3.421984399858200e-06	2.460246816635485e-06	9.036157280542019e-06	9.273274776952013e-06	1.136668648462275e-07
4161                   	3.417641444225090e-06	2.459528245473599e-06	9.018386953371362e-06	9.263438228986269e-06	1.135280368211805e-07
4162                   	3.413310867532125e-06	2.458812807543049e-06	9.000652585836684e-06	9.253596405865757e-06	1.133892254219648e-07
4163                   	3.408988355041946e-06	2.458103833769279e-06	8.982758097701257e-06	9.243750211365753e-06	1.132504239453936e-07
4164                   	3.404673118777569e-06	2.457420819481517e-06	8.964689691996233e-06	9.233904657143389e-06	1.131116399763051e-07
4165                   	3.400364482878624e-06	2.456745696346686e-06	8.946484548072729e-06	9.224055029698136e-06	1.129729143400801e-07
4166                   	3.396062478630126e-06	2.456061324464027e-06	8.928244316191959e-06	9.214199707463955e-06	1.128342567740326e-07
4167                   	3.391767277463665e-06	2.455374296519266e-06	8.910047012562389e-06	9.204338588397234e-06	1.126955889854424e-07
4168                   	3.387481137393699e-06	2.454699212198434e-06	8.891818252199380e-06	9.194467645550822e-06	1.125569761262421e-07
4169                   	3.383203256540946e-06	2.454033735961836e-06	8.873595979360445e-06	9.184592278053371e-06	1.124184235734795e-07
4170                   	3.378936070311284e-06	2.453378846893948e-06	8.855341269040422e-06	9.174711534344581e-06	1.122799206540915e-07
4171                   	3.374675982435553e-06	2.452726002634536e-06	8.837091824434799e-06	9.164819178366092e-06	1.121414578940978e-07
4172                   	3.370421590741449e-06	2.452083361785137e-06	8.818712549017288e-06	9.154919391627562e-06	1.120030243483014e-07
4173                   	3.366175133881238e-06	2.451435497853583e-06	8.800249656254504e-06	9.145008534358812e-06	1.118646302881353e-07
4174                   	3.361935193385389e-06	2.450789493157496e-06	8.781887175893812e-06	9.135101151725095e-06	1.117262702617841e-07
4175                   	3.357702149677338e-06	2.450162951633741e-06	8.763543826623755e-06	9.125194705746312e-06	1.115879602204154e-07
4176                   	3.353477171251485e-06	2.449544593617967e-06	8.745346779732691e-06	9.115284965437098e-06	1.114496883385281e-07
4177                   	3.349261616338778e-06	2.448936708770759e-06	8.727343204071289e-06	9.105363302714583e-06	1.113114496303290e-07
4178                   	3.345055865522348e-06	2.448331773595228e-06	8.709345460686837e-06	9.095431093954135e-06	1.111732647835139e-07
4179                   	3.340857026289264e-06	2.447721923059682e-06	8.691237941038936e-06	9.085490580245027e-06	1.110351601403496e-07
4180                   	3.336664589971116e-06	2.447113297808618e-06	8.672900854561320e-06	9.075544461134901e-06	1.108970611669986e-07
4181                   	3.332479786032190e-06	2.446517801017334e-06	8.654819200559708e-06	9.065592621311784e-06	1.107590089532736e-07
4182                   	3.328300713035075e-06	2.445910358227656e-06	8.637326133599417e-06	9.055629687610353e-06	1.106210563569307e-07
4183                   	3.324128975193992e-06	2.445309045375151e-06	8.619737708738485e-06	9.045660007098562e-06	1.104832691159894e-07
4184                   	3.319966850304819e-06	2.444739266385201e-06	8.601482686516688e-06	9.035689193970818e-06	1.103455976462249e-07
4185                   	3.315812955079650e-06	2.444194252311449e-06	8.582662308512499e-06	9.025714447744529e-06	1.102080445689308e-07
4186                   	3.311667347386126e-06	2.443672711419171e-06	8.564508911435255e-06	9.015742898607661e-06	1.100705568518837e-07
4187                   	3.307527882704335e-06	2.443157835574494e-06	8.546780746343306e-06	9.005768462266627e-06	1.099331263501172e-07
4188                   	3.303395484052416e-06	2.442644478370102e-06	8.529325186477039e-06	8.995794740751429e-06	1.097957449914741e-07
4189                   	3.299269683120004e-06	2.442133501188119e-06	8.511922510366088e-06	8.985819640021847e-06	1.096584045843942e-07
4190                   	3.295150259938537e-06	2.441609837874476e-06	8.494570628962021e-06	8.975837915681633e-06	1.095211319973577e-07
4191                   	3.291039209895521e-06	2.441093274810623e-06	8.477270784836843e-06	8.965850989703682e-06	1.093839458058869e-07
4192                   	3.286934956331729e-06	2.440589578240250e-06	8.459985509368094e-06	8.955856130839571e-06	1.092468058958296e-07
4193                   	3.282841881956007e-06	2.440085011833556e-06	8.442830074782557e-06	8.945851181664853e-06	1.091097125335222e-07
4194                   	3.278755943661131e-06	2.439570170981603e-06	8.425748326136078e-06	8.935838322150490e-06	1.089726705787340e-07
4195                   	3.274675982490198e-06	2.439048520011024e-06	8.408678078302239e-06	8.925816646453472e-06	1.088356696095086e-07
4196                   	3.270602397619961e-06	2.438528444703058e-06	8.391668696020211e-06	8.915785344003860e-06	1.086987288032327e-07
4197                   	3.266535505297624e-06	2.438011476005313e-06	8.374740795947290e-06	8.905759372870779e-06	1.085618425693938e-07
4198                   	3.262475559412364e-06	2.437513350788127e-06	8.357868601657630e-06	8.895735793324532e-06	1.084250101688618e-07
4199                   	3.258423617687369e-06	2.437023664821163e-06	8.341110995638235e-06	8.885712397074504e-06	1.082882342536994e-07
4200                   	3.254378989834949e-06	2.436534429792031e-06	8.314506478038249e-06	8.875699184499772e-06	1.081515097125533e-07
4201                   	3.250343570436938e-06	2.436059234338273e-06	8.300503382339283e-06	8.865681452684511e-06	1.080148719569906e-07
4202                   	3.246315729998817e-06	2.435622243536912e-06	8.290823486158358e-06	8.855650929156531e-06	1.078783025914956e-07
4203                   	3.242293905530663e-06	2.435193069350909e-06	8.277935841116659e-06	8.845618515996503e-06	1.077418001513389e-07
4204                   	3.238278652159693e-06	2.434781447817481e-06	8.261644173559151e-06	8.835575435393443e-06	1.076053587488066e-07
4205                   	3.234271057599517e-06	2.434369153375655e-06	8.243828919637139e-06	8.825530491837286e-06	1.074690105768322e-07
4206                   	3.230270028978938e-06	2.433947543979492e-06	8.226798744339676e-06	8.815485688382786e-06	1.073326998454489e-07
4207                   	3.226275125594174e-06	2.433535560084955e-06	8.211254825020615e-06	8.805437053051564e-06	1.071964511746755e-07
4208                   	3.222287698606924e-06	2.433103944327967e-06	8.196345588037644e-06	8.795382001869610e-06	1.070602572808827e-07
4209                   	3.218308170365974e-06	2.432698166021183e-06	8.181796535546043e-06	8.785326494010575e-06	1.069241550672990e-07
4210                   	3.214336484876958e-06	2.432295161349705e-06	8.167341457047395e-06	8.775270556901435e-06	1.067881231155332e-07
4211                   	3.210371782663070e-06	2.431883714613565e-06	8.152799690882027e-06	8.765212503826423e-06	1.066521705543448e-07
