# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
2640                   	4.544284449906489e-05	2.123803242353191e-04	3.176222838511352e-04	6.007768855256274e-05	1.203023872750435e-06
2641                   	4.536991219732145e-05	2.116956786462209e-04	3.167411585324392e-04	6.001352148927616e-05	1.202055239249693e-06
2642                   	4.529698979692100e-05	2.110111023958560e-04	3.158293625214205e-04	5.994952336745307e-05	1.201075711343060e-06
2643                   	4.522431029067997e-05	2.103259833131795e-04	3.149818590939659e-04	5.988548492434766e-05	1.200097374647354e-06
2644                   	4.515180923477361e-05	2.096406806777372e-04	3.141483346481616e-04	5.982159700321167e-05	1.199120851754760e-06
2645                   	4.507916144522912e-05	2.089553050776809e-04	3.134002223529262e-04	5.975807595769279e-05	1.198137209717085e-06
2646                   	4.500637134119191e-05	2.082705728539651e-04	3.126651993465938e-04	5.969422800543565e-05	1.197152467279573e-06
2647                   	4.493352167570414e-05	2.075852851536477e-04	3.118593539062182e-04	5.963039397546260e-05	1.196161149134583e-06
2648                   	4.486050840973819e-05	2.068993546175011e-04	3.110157742866057e-04	5.956700835751926e-05	1.195174843434999e-06
2649                   	4.478742567391134e-05	2.062142248237234e-04	3.101644889130858e-04	5.950407785074924e-05	1.194184063802657e-06
2650                   	4.471421282844383e-05	2.055288765445297e-04	3.093189445703044e-04	5.944099307864715e-05	1.193191158621502e-06
2651                   	4.464105174369241e-05	2.048432509032677e-04	3.086793923364997e-04	5.937786760437703e-05	1.192194253151605e-06
2652                   	4.456830266777091e-05	2.041581190860914e-04	3.080064344775904e-04	5.931488906269392e-05	1.191186478319950e-06
2653                   	4.449571458093253e-05	2.034744166123938e-04	3.072208162224399e-04	5.925173595832220e-05	1.190170349741682e-06
2654                   	4.442338452609278e-05	2.027909955712825e-04	3.063464917969436e-04	5.918848462777774e-05	1.189148919801465e-06
2655                   	4.435118684172416e-05	2.021080620340768e-04	3.056584716381380e-04	5.912518879132608e-05	1.188122952353796e-06
2656                   	4.427905955745855e-05	2.014247610626073e-04	3.050226791519716e-04	5.906185811832538e-05	1.187089808385907e-06
2657                   	4.420703804717371e-05	2.007423379247223e-04	3.043411223672512e-04	5.899866428892646e-05	1.186052905863563e-06
2658                   	4.413483781608998e-05	2.000609216770247e-04	3.035470341794962e-04	5.890249673662935e-05	1.185016539589791e-06
2659                   	4.406309728213990e-05	1.993778544396496e-04	3.027560484141693e-04	5.882640209297005e-05	1.189054870324817e-06
2660                   	4.399057496452239e-05	1.986996582771547e-04	3.011825185713406e-04	5.876586869495300e-05	1.177792105336461e-06
2661                   	4.391827555842241e-05	1.980205031516612e-04	3.008902773601762e-04	5.867016076863945e-05	1.179262438269603e-06
2662                   	4.384668927322047e-05	1.973370648770210e-04	2.992510603550395e-04	5.859446639350418e-05	1.182868727875987e-06
2663                   	4.377423366644675e-05	1.966589760626302e-04	2.984574961097093e-04	5.850122188598857e-05	1.172270697954622e-06
2664                   	4.370241315904999e-05	1.959790800623164e-04	2.974532459535492e-04	5.842630896204752e-05	1.178339573772039e-06
2665                   	4.362986611503774e-05	1.953030216888384e-04	2.968822886094094e-04	5.833339450910651e-05	1.167831772748056e-06
2666                   	4.355827417563204e-05	1.946237068588017e-04	2.956571594072710e-04	5.825915525848483e-05	1.173941803159746e-06
2667                   	4.348551967615207e-05	1.939487102137675e-04	2.953971480272180e-04	5.816746238544353e-05	1.163776188366861e-06
2668                   	4.341348384136712e-05	1.932716723442970e-04	2.940597883740244e-04	5.806126068611110e-05	1.169807530257791e-06
2669                   	4.334140585881714e-05	1.925972459712175e-04	2.931284505157555e-04	5.795832972339350e-05	1.164720829317308e-06
2670                   	4.326953324578667e-05	1.919256949934977e-04	2.920218630279005e-04	5.785628448001834e-05	1.161343028647696e-06
2671                   	4.319773246211119e-05	1.912540910864314e-04	2.906921726843615e-04	5.775495729559338e-05	1.157995780166118e-06
2672                   	4.312617184201706e-05	1.905827353148862e-04	2.897985421220930e-04	5.765444541550490e-05	1.154870951879720e-06
2673                   	4.305452108261499e-05	1.899121666990340e-04	2.891159707670662e-04	5.755441017666586e-05	1.151890655713694e-06
2674                   	4.298278059697985e-05	1.892427312165253e-04	2.884312622533124e-04	5.745507126652543e-05	1.149036898557274e-06
2675                   	4.291104791598591e-05	1.885747584878840e-04	2.876468474337662e-04	5.735606355141427e-05	1.146285267177627e-06
2676                   	4.283922962526545e-05	1.879084998901369e-04	2.868542405695038e-04	5.725744121330462e-05	1.143615452335923e-06
